Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,1.1185485124588013,1.089369773864746,0.3,0.35294117647058826
2,1.0343058109283447,1.167197346687317,0.4,0.23529411764705882
3,1.0201616287231445,1.2555633783340454,0.4,0.23529411764705882
4,0.9886655807495117,1.26608407497406,0.4,0.23529411764705882
5,0.9529435634613037,1.1921653747558594,0.4,0.23529411764705882
6,0.9236032962799072,1.1302118301391602,0.4666666666666667,0.3235294117647059
7,0.8782057762145996,1.049798607826233,0.5833333333333334,0.38235294117647056
8,0.8395256400108337,1.0131281614303589,0.6333333333333333,0.4117647058823529
9,0.8047229647636414,0.981752872467041,0.7833333333333333,0.5588235294117647
10,0.7444761991500854,0.9336879253387451,0.9166666666666666,0.6470588235294118
11,0.6888048648834229,0.8999472260475159,0.8666666666666667,0.6470588235294118
12,0.6125612854957581,0.8787693977355957,0.9333333333333333,0.7352941176470589
13,0.5488739609718323,0.8478267192840576,0.9666666666666667,0.7352941176470589
14,0.49038898944854736,0.8159960508346558,0.9666666666666667,0.7058823529411765
15,0.44081342220306396,0.8080821633338928,0.9666666666666667,0.6764705882352942
16,0.36536145210266113,0.7625033855438232,1.0,0.7058823529411765
17,0.2965756952762604,0.66642826795578,1.0,0.7058823529411765
18,0.2537720203399658,0.6447899341583252,1.0,0.7647058823529411
19,0.1898609846830368,0.6093429923057556,1.0,0.7058823529411765
20,0.1460627168416977,0.6136002540588379,1.0,0.7058823529411765
21,0.11403295397758484,0.5907962918281555,1.0,0.6764705882352942
22,0.08657792210578918,0.6355210542678833,1.0,0.6764705882352942
23,0.07044743001461029,0.6869831085205078,1.0,0.7058823529411765
24,0.04190579056739807,0.6597579121589661,1.0,0.7058823529411765
25,0.03588460013270378,0.6520557403564453,1.0,0.7058823529411765
26,0.024232707917690277,0.6464221477508545,1.0,0.7058823529411765
27,0.019566867500543594,0.6211361289024353,1.0,0.7352941176470589
28,0.011462240479886532,0.6844992637634277,1.0,0.7058823529411765
29,0.012793932110071182,0.7724368572235107,1.0,0.6764705882352942
30,0.007820882834494114,0.6128800511360168,1.0,0.7058823529411765
31,0.0047189113683998585,0.8054250478744507,1.0,0.6764705882352942
32,0.004027707036584616,0.6660241484642029,1.0,0.7058823529411765
33,0.0030916063115000725,0.8530409336090088,1.0,0.6764705882352942
34,0.0025644563138484955,0.8019706606864929,1.0,0.7352941176470589
35,0.0020891313906759024,0.9046172499656677,1.0,0.6764705882352942
36,0.0018685911782085896,0.8759350776672363,1.0,0.7058823529411765
37,0.001586797065101564,0.8714203238487244,1.0,0.7058823529411765
38,0.0012919422006234527,0.873651385307312,1.0,0.6764705882352942
39,0.0010995795018970966,0.9060249924659729,1.0,0.7058823529411765
40,0.0008562961011193693,0.7626798748970032,1.0,0.7058823529411765
41,0.0008179079741239548,0.9426905512809753,1.0,0.6764705882352942
42,0.0007080986397340894,0.9955295324325562,1.0,0.7058823529411765
43,0.0009979319293051958,0.8894385099411011,1.0,0.6764705882352942
44,0.00045814955956302583,1.0627793073654175,1.0,0.6764705882352942
45,0.0002746838144958019,1.0669920444488525,1.0,0.7058823529411765
46,0.00034741414128802717,0.9405806660652161,1.0,0.7058823529411765
47,0.0004510236904025078,0.8680782914161682,1.0,0.7058823529411765
48,0.0005223742336966097,0.894036054611206,1.0,0.7647058823529411
49,0.0003568580432329327,0.9540336728096008,1.0,0.7058823529411765
50,0.00038773397682234645,1.1483643054962158,1.0,0.6764705882352942
51,0.0004440187767613679,1.1212072372436523,1.0,0.6764705882352942
52,0.00086779217235744,1.172993779182434,1.0,0.6764705882352942
53,0.00041834780131466687,0.8263427019119263,1.0,0.7352941176470589
54,0.00024066012701950967,1.0528627634048462,1.0,0.6764705882352942
55,0.00021133465634193271,0.962500274181366,1.0,0.6764705882352942
56,0.0002735588641371578,1.035851001739502,1.0,0.6764705882352942
57,0.0003414772800169885,1.1234253644943237,1.0,0.6764705882352942
58,0.0001994347694562748,1.019756555557251,1.0,0.7058823529411765
59,0.0002965013845823705,1.0496740341186523,1.0,0.6764705882352942
60,0.00024049455532804132,1.1060389280319214,1.0,0.6764705882352942
61,0.0002822755486704409,1.0443869829177856,1.0,0.7058823529411765
62,0.0002580334257800132,1.1534528732299805,1.0,0.6764705882352942
63,0.00027751957532018423,1.0751813650131226,1.0,0.6764705882352942
64,0.00028203133842907846,0.9503592252731323,1.0,0.7058823529411765
65,0.0003415730607230216,0.9722824096679688,1.0,0.6764705882352942
66,0.0001920029171742499,1.078591227531433,1.0,0.6764705882352942
67,0.00020411075092852116,0.9901662468910217,1.0,0.6764705882352942
68,0.0002677699667401612,1.1584502458572388,1.0,0.6764705882352942
69,0.00019921852799598128,0.9625227451324463,1.0,0.6764705882352942
70,0.00029516450013034046,1.1327072381973267,1.0,0.7058823529411765
71,0.0003623958327807486,1.098809838294983,1.0,0.6764705882352942
